const,country,rated,awards,is_adult
tt0043711,United States,Passed,,
tt0043725,United States,Approved,,
tt0043731,"Italy, France, West Germany",,,
tt0043740,Italy,14,,
tt0043741,Italy,,,
tt0043746,United States,Approved,,
tt0043751,United States,Approved,,
tt0043757,United States,Approved,,
tt0043764,Italy,14,,
tt0043765,Italy,,,
tt0043782,United States,Approved,1 nomination,
tt0043799,Italy,,,
tt0043805,Italy,,,
tt0043827,United States,Approved,,
tt0043828,United States,Approved,,
tt0043841,"Italy, France",,,
tt0043855,United Kingdom,Passed,,
tt0043870,Italy,,,
tt0043888,Italy,,,
tt0043906,United States,Approved,,
tt0043912,United States,,,
tt0043918,"Italy, France",,Nominated for 1 BAFTA Award3 wins & 4 nominations total,
tt0043938,United States,Approved,,
tt0043945,Italy,,,
tt0043949,United States,Approved,Nominated for 8 Oscars. 9 wins & 10 nominations total,
tt0043986,Italy,Approved,,
tt0043991,Italy,,,
tt0043993,Italy,,,
tt0044002,"West Germany, Italy",16,,
tt0044010,United States,Passed,,
tt0044022,Italy,,,
tt0044023,Italy,,,
tt0044025,"France, Italy",,,
tt0044026,Spain,,1 win total,
tt0044045,United States,Approved,,
tt0044059,United States,Approved,,
tt0044060,Sweden,,2 nominations,
tt0044061,United States,Passed,,
tt0044079,United States,PG,Nominated for 1 Oscar. 6 wins & 2 nominations total,
tt0044143,Italy,,,
tt0044145,Italy,,,
tt0044161,Italy,,,
tt0044162,Italy,,,
tt0044166,United States,Approved,,
tt0044178,United Kingdom,Approved,,
tt0044181,Italy,Approved,,
tt0044182,Italy,,,
tt0044183,Italy,,,
tt0044184,Italy,,,
tt0044188,West Germany,,1 win & 1 nomination total,
tt0044205,United States,Approved,,
tt0044224,United States,,1 nomination,
tt0044226,Italy,,,
tt0044317,Italy,,,
tt0044324,United States,Approved,Nominated for 2 Oscars. 1 win & 4 nominations total,
tt0044338,Italy,,,
tt0044349,Italy,,,
tt0044374,"Italy, France",,,
tt0044380,United States,Approved,,
tt0044382,United States,Approved,Nominated for 1 Oscar. 1 nomination total,
tt0044398,United States,Approved,,
tt0044399,United States,Approved,,
tt0044402,United States,Approved,Nominated for 1 Oscar. 1 nomination total,
tt0044411,Italy,,,
tt0044413,United States,Approved,3 wins & 3 nominations total,
tt0044419,United States,Approved,Nominated for 2 Oscars. 3 nominations total,
tt0044426,United States,Approved,,
tt0044433,"Italy, France",,,
tt0044467,"Italy, France",,,
tt0044473,France,,,
tt0044474,Italy,Approved,1 win & 1 nomination,
tt0044484,Italy,,,
tt0044485,Italy,,,
tt0044486,United States,Approved,Nominated for 2 Oscars. 5 nominations total,
tt0044498,Italy,,,
tt0044501,Italy,Approved,,
tt0044508,Italy,,,
tt0044517,"United States, United Kingdom",Approved,,
tt0044543,United States,Approved,,
tt0044572,Italy,,Nominated for 1 BAFTA Award5 wins & 1 nomination total,
tt0044598,Italy,,,
tt0044602,"France, Italy",,2 wins & 1 nomination total,
tt0044607,Italy,Approved,,
tt0044615,Italy,,,
tt0044617,"France, Italy",K-16,,
tt0044634,Italy,Approved,,
tt0044660,Italy,,,
tt0044661,Italy,,,
tt0044706,United States,PG,Won 4 Oscars. 18 wins & 12 nominations total,
tt0044725,United Kingdom,Approved,,
tt0044729,United States,Approved,,
tt0044748,"France, Italy",,,
tt0044770,Italy,,,
tt0044772,Spain,,2 wins & 1 nomination,
tt0044777,United States,Approved,,
tt0044782,United States,,Nominated for 1 Oscar. 1 nomination total,
tt0044790,United States,Passed,,
tt0044817,United States,Approved,,
tt0044833,Italy,,,
tt0044834,"Italy, France",,,
tt0044837,United States,G,Won 1 Oscar. 7 wins & 4 nominations total,
tt0044849,United Kingdom,Approved,,
tt0044857,"France, Italy",,,
tt0044858,Italy,,,
tt0044885,"France, Italy",Approved,,
tt0044887,Italy,,,
tt0044898,Italy,,,
tt0044907,United States,Approved,,
tt0044913,Italy,,,
tt0044915,"Italy, France",Approved,,
tt0044922,Italy,,,
tt0044934,Italy,,,
tt0044959,Italy,,,
tt0044973,Italy,,,
tt0044975,Italy,,,
tt0044977,"France, Italy",,Nominated for 2 BAFTA 1 win & 4 nominations total,
tt0045008,Italy,,,
tt0045010,Argentina,,2 nominations,
tt0045017,Italy,,,
tt0045022,"Italy, Spain",,,
tt0045024,Italy,,,
tt0045041,United States,Approved,,
tt0045050,Italy,,,
tt0045051,Italy,,,
tt0045053,United States,Approved,,
tt0045054,Italy,,3 wins,
tt0045055,Italy,,,
tt0045066,Italy,Approved,,
tt0045072,United States,Approved,,
tt0045076,Italy,Approved,,
tt0045078,Italy,,,
tt0045097,United States,Passed,,
tt0045098,"Italy, France",,1 win,
tt0045101,Italy,,,
tt0045118,"Italy, France",,,
tt0045125,United States,Approved,3 nominations total,
tt0045126,United States,Approved,,
tt0045132,Italy,,,
tt0045138,Italy,Approved,,
